192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.000615
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.000770
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000864
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000631
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000768
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000746
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000948
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000888
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000801
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000813
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001370
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001187
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000920
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.000660
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000572
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/default/edit/designer/models/db.py, HTTP/1.1, 200, 0.108999
